,school name,school city,carnegie undergrad profile,carnegie size setting,avg months to complete program 1,avg months to complete program 2,avg months to complete program 3,avg months to complete program 4,avg months to complete program 5,avg months to complete program 6,avg price (public),avg price (private),avg price (other academic year),avg price (program year),public $ by income (75001-110k),public $ by income (75000 plus),public $ by income (48001-75k),public $ by income (30001-75k),public $ by income (30001-48k),public $ by income (110001-plus),110k+ fam income avg cost(private),110k+ fam income avg cost(other),0-48k fam income avg cost(public),0-48k fam income avg cost(program-year),0-48k fam income avg cost(private),0-48k fam income avg cost(other),0-30k fam income avg cost(public),0-30k fam income avg cost(program-year),0-30k fam income avg cost(private),0-30k fam income avg cost(other),overall admission rate,id,latitude,longitude
0,Alabama A & M University,Normal,10,14,0.0,0.0,0.0,0.0,0.0,0.0,13057.0,0.0,0,0,16707.0,17399.0,15508.0,13424.0,12300.0,18857.0,0.0,0,12210.0,0,0.0,0,12177.0,0,0.0,0,0.716,100654,34.783368,-86.568502
1,University of Alabama at Birmingham,Birmingham,9,15,0.0,0.0,0.0,0.0,0.0,0.0,16585.0,0.0,0,0,18230.0,19441.0,16847.0,16038.0,15370.0,20054.0,0.0,0,14431.0,0,0.0,0,13862.0,0,0.0,0,0.8854,100663,33.505697,-86.799345
2,Amridge University,Montgomery,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100690,32.362609,-86.17401
3,University of Alabama in Huntsville,Huntsville,15,13,0.0,0.0,0.0,0.0,0.0,0.0,17250.0,0.0,0,0,19206.0,19333.0,18572.0,16919.0,14646.0,19423.0,0.0,0,14651.0,0,0.0,0,14654.0,0,0.0,0,0.7367,100706,34.724557,-86.640449
4,Alabama State University,Montgomery,10,14,0.0,0.0,0.0,0.0,0.0,0.0,13593.0,0.0,0,0,20568.0,21072.0,13992.0,14127.0,14170.0,21938.0,0.0,0,13180.0,0,0.0,0,12877.0,0,0.0,0,0.9799,100724,32.364317,-86.295677
5,The University of Alabama,Tuscaloosa,12,16,0.0,0.0,0.0,0.0,0.0,0.0,21534.0,0.0,0,0,23830.0,24553.0,21957.0,21041.0,20121.0,24948.0,0.0,0,18883.0,0,0.0,0,18338.0,0,0.0,0,0.789,100751,33.211875,-87.545978
6,Central Alabama Community College,Alexander City,1,2,0.0,0.0,0.0,0.0,0.0,0.0,8628.0,0.0,0,0,12453.0,12623.0,9837.0,9227.0,8734.0,12845.0,0.0,0,7367.0,0,0.0,0,6837.0,0,0.0,0,0.0,100760,32.92478,-85.945266
7,Athens State University,Athens,5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100812,34.806793,-86.964698
8,Auburn University at Montgomery,Montgomery,7,13,0.0,0.0,0.0,0.0,0.0,0.0,13689.0,0.0,0,0,17249.0,16148.0,15661.0,14352.0,13773.0,15387.0,0.0,0,12912.0,0,0.0,0,12565.0,0,0.0,0,0.968,100830,32.36736,-86.177544
9,Auburn University,Auburn,14,15,0.0,0.0,0.0,0.0,0.0,0.0,23258.0,0.0,0,0,24989.0,26226.0,22379.0,20987.0,19313.0,26836.0,0.0,0,17844.0,0,0.0,0,16701.0,0,0.0,0,0.7118,100858,32.599378,-85.488258
10,Birmingham-Southern College,Birmingham,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21098.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,23073.0,0,0.0,0,17414.0,0,0.0,0,17500.0,0,0.6591,100937,33.513774,-86.850552
11,Chattahoochee Valley Community College,Phenix City,2,2,0.0,0.0,0.0,0.0,0.0,0.0,3557.0,0.0,0,0,5658.0,5621.0,5617.0,3680.0,2435.0,5320.0,0.0,0,2939.0,0,0.0,0,3166.0,0,0.0,0,0.0,101028,32.42391,-85.031485
12,South University-Montgomery,Montgomery,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18772.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,16604.0,0,0.0,0,16604.0,0,0.0,101116,32.342684,-86.216488
13,Enterprise State Community College,Enterprise,2,2,0.0,0.0,0.0,0.0,0.0,0.0,3214.0,0.0,0,0,8043.0,8388.0,4278.0,2856.0,2145.0,8663.0,0.0,0,2125.0,0,0.0,0,2119.0,0,0.0,0,0.0,101143,31.297496,-85.836956
14,Coastal Alabama Community College,Bay Minette,2,3,0.0,0.0,0.0,0.0,0.0,0.0,6043.0,0.0,0,0,11217.0,10638.0,7562.0,6196.0,5192.0,10112.0,0.0,0,4793.0,0,0.0,0,4659.0,0,0.0,0,0.0,101161,30.851343,-87.778193
15,Faulkner University,Montgomery,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20371.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22580.0,0,0.0,0,19162.0,0,0.0,0,19051.0,0,0.646,101189,32.384181,-86.21641
16,Gadsden State Community College,Gadsden,2,3,0.0,0.0,0.0,0.0,0.0,0.0,4239.0,0.0,0,0,5566.0,5566.0,6546.0,5352.0,4624.0,0.0,0.0,0,3918.0,0,0.0,0,3742.0,0,0.0,0,0.0,101240,33.994001,-85.991438
17,New Beginning College of Cosmetology,Albertville,-2,-2,12.0,7.0,0.0,0.0,0.0,0.0,0.0,13520.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16895.0,0,0.0,0,12921.0,0,0.0,0,12975.0,0,0.0,101277,34.27871,-86.196931
18,George C Wallace Community College-Dothan,Dothan,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1520.0,0.0,0,0,0.0,0.0,2477.0,1440.0,910.0,0.0,0.0,0,1409.0,0,0.0,0,1556.0,0,0.0,0,0.0,101286,31.315274,-85.465836
19,George C Wallace State Community College-Hanceville,Hanceville,2,3,0.0,0.0,0.0,0.0,0.0,0.0,8467.0,0.0,0,0,12242.0,12262.0,10475.0,8854.0,7803.0,12292.0,0.0,0,7359.0,0,0.0,0,7178.0,0,0.0,0,0.0,101295,34.072439,-86.781935
