,school name,id,latitude,longitude
0,Alabama A & M University,100654,34.783368,-86.568502
1,University of Alabama at Birmingham,100663,33.505697,-86.799345
2,Amridge University,100690,32.362609,-86.17401
3,University of Alabama in Huntsville,100706,34.724557,-86.640449
4,Alabama State University,100724,32.364317,-86.295677
5,The University of Alabama,100751,33.211875,-87.545978
6,Central Alabama Community College,100760,32.92478,-85.945266
7,Athens State University,100812,34.806793,-86.964698
8,Auburn University at Montgomery,100830,32.36736,-86.177544
9,Auburn University,100858,32.599378,-85.488258
10,Birmingham-Southern College,100937,33.513774,-86.850552
11,Chattahoochee Valley Community College,101028,32.42391,-85.031485
12,South University-Montgomery,101116,32.342684,-86.216488
13,Enterprise State Community College,101143,31.297496,-85.836956
14,Coastal Alabama Community College,101161,30.851343,-87.778193
15,Faulkner University,101189,32.384181,-86.21641
16,Gadsden State Community College,101240,33.994001,-85.991438
17,New Beginning College of Cosmetology,101277,34.27871,-86.196931
18,George C Wallace Community College-Dothan,101286,31.315274,-85.465836
19,George C Wallace State Community College-Hanceville,101295,34.072439,-86.781935
20,George C Wallace State Community College-Selma,101301,32.445917,-87.013294
21,Herzing University-Birmingham,101365,33.468466,-86.832465
22,Huntingdon College,101435,32.351034,-86.284366
23,Heritage Christian University,101453,34.856153,-87.663051
24,J. F. Drake State Community and Technical College,101462,34.771858,-86.572885
25,J F Ingram State Technical College,101471,32.582312,-86.392369
26,Jacksonville State University,101480,33.822938,-85.765321
27,Jefferson State Community College,101505,33.652535,-86.707233
28,John C Calhoun State Community College,101514,34.645844,-86.949674
29,Lawson State Community College,101569,33.450814,-86.888844
30,University of West Alabama,101587,32.588132,-88.186329
31,Lurleen B Wallace Community College,101602,31.322947,-86.452262
32,Marion Military Institute,101648,32.623734,-87.322041
33,Miles College,101675,33.482442,-86.908751
34,University of Mobile,101693,30.793247,-88.128934
35,University of Montevallo,101709,33.10625,-86.865099
36,Northwest-Shoals Community College,101736,34.739788,-87.678089
37,University of North Alabama,101879,34.806738,-87.681361
38,Northeast Alabama Community College,101897,34.545471,-85.911664
39,Oakwood University,101912,34.756344,-86.652705
40,Reid State Technical College,101994,31.460265,-86.964797
41,Bishop State Community College,102030,30.693972,-88.056982
42,Samford University,102049,33.464128,-86.791799
43,Shelton State Community College,102067,33.120531,-87.56148
44,Snead State Community College,102076,34.201495,-86.169897
45,University of South Alabama,102094,30.696033,-88.178711
46,Spring Hill College,102234,30.694751,-88.138199
47,Stillman College,102270,33.200006,-87.585278
48,Talladega College,102298,33.433472,-86.112704
49,H Councill Trenholm State Community College,102313,32.350109,-86.343057
50,Troy University,102368,31.800672,-85.957094
51,Tuskegee University,102377,32.4309,-85.708492
52,United States Sports Academy,102395,30.639329,-87.91163
53,Bevill State Community College,102429,33.836929,-87.266406
54,University of Alaska Anchorage,102553,61.190163,-149.82619
55,Alaska Bible College,102580,61.598553,-149.111972
56,University of Alaska Fairbanks,102614,64.85756,-147.823146
57,University of Alaska Southeast,102632,58.384846,-134.638255
58,Alaska Pacific University,102669,61.190968,-149.804168
59,Alaska Vocational Technical Center,102711,60.110626,-149.444487
60,Charter College,102845,45.617798,-122.494766
61,Alaska Career College,103501,61.181443,-149.856954
62,Empire Beauty School-Tucson,103741,32.235657,-110.927187
