,school name,zipcode,student size,pell grant rate,average faculty salary,fulltime faculty rate,admission test requirements,completion rate in 4 years (hawaiian or pacific islander),completion rate in 4 years (american indian),completion rate in 4 years (asian),completion rate in 4 years (hispanic),completion rate in 4 years (black),completion rate in 4 years (white),total student demographic (white),total student demographic (hispanic),total student demographic (black),total student demographic (american indian),total student demographic (female),total student demographic (male),median debt for income 30001_75000,median debt for income 0-30000,median debt for income greater than 75000,median debt for noncompleters,median debt for completers,median debt for male students,median debt for independent students,median debt for female students,median debt for dependent students,faculty demographic (white),faculty demographic (2 or more race or ethnicity),faculty demographic (unknown race or ethnicity),faculty demographic (hawaiian or pacific islander),faculty demographic (hispanic),faculty demographic (black),faculty demographic (asian),faculty demographic (american indian),undergrads aged 25 or older,id,latitude,longitude
0,Alabama A & M University,35762,5098.0,0.6853,8779.0,0.6833,5.0,0.0,0.0,0.0,0.2222,0.2805,0.3043,0.0184,0.0114,0.8978,0.0027,0.594,0.406,16000.0,17500.0,15000.0,10500.0,31000.0,15000.0,20000.0,18216.0,16057.0,0.1469,0.0095,0.0095,0.0,0.0,0.654,0.0995,0.0047,0.0617,100654,34.783368,-86.568502
1,University of Alabama at Birmingham,35294-0110,13284.0,0.3253,11590.0,0.7564,5.0,0.0,0.6,0.8354,0.5769,0.5565,0.6276,0.5297,0.0669,0.2458,0.0021,0.621,0.379,15985.0,16666.0,15000.0,10204.0,22300.0,15248.0,16944.0,16183.0,15250.0,0.6808,0.0081,0.0004,0.0012,0.0319,0.0619,0.1575,0.0015,0.1794,100663,33.505697,-86.799345
2,Amridge University,36117-3553,251.0,0.7852,4672.0,0.7872,0.0,0.0,0.0,0.0,0.0,0.2857,1.0,0.247,0.0438,0.6932,0.0,0.6853,0.3147,18803.0,12875.0,19917.0,10500.0,32189.0,12901.0,14250.0,13385.0,9166.0,0.9706,0.0,0.0,0.0,0.0,0.0294,0.0,0.0,0.8606,100690,32.362609,-86.17401
3,University of Alabama in Huntsville,35899,7358.0,0.2377,9820.0,0.6538,1.0,0.0,0.6667,0.8125,0.6444,0.4845,0.6098,0.7196,0.061,0.0871,0.008,0.4047,0.5953,13075.0,14502.0,13954.0,10185.0,20705.0,13660.0,15245.0,14000.0,13665.0,0.6809,0.0028,0.0,0.0,0.0256,0.0513,0.1823,0.0085,0.1519,100706,34.724557,-86.640449
4,Alabama State University,36104-0271,3495.0,0.7205,7701.0,0.6812,5.0,0.0,0.0,0.3333,0.4286,0.2844,0.3636,0.0152,0.0129,0.9259,0.0017,0.6495,0.3505,17000.0,17750.0,18500.0,11000.0,31000.0,14573.0,21500.0,18750.0,17000.0,0.2127,0.0,0.009,0.0,0.0136,0.6063,0.1584,0.0,0.0677,100724,32.364317,-86.295677
5,The University of Alabama,35487-0100,30725.0,0.1712,10509.0,0.7753,5.0,0.625,0.6207,0.7912,0.661,0.5663,0.7468,0.7676,0.0549,0.105,0.0037,0.5615,0.4385,18500.0,17750.0,17750.0,10250.0,22750.0,16500.0,16444.0,18750.0,18283.0,0.7462,0.0074,0.0018,0.0018,0.0283,0.0645,0.094,0.0018,0.0735,100751,33.211875,-87.545978
6,Central Alabama Community College,35010,940.0,0.2982,6523.0,0.3824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7245,0.0287,0.1947,0.0021,0.6085,0.3915,5874.0,6500.0,5000.0,4514.0,9766.0,4781.0,8450.0,6000.0,4960.0,0.8537,0.0244,0.0,0.0,0.0,0.122,0.0,0.0,0.1565,100760,32.92478,-85.945266
7,Athens State University,35611,2511.0,0.4036,8834.0,0.4554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7634,0.0426,0.1243,0.0131,0.7049,0.2951,14848.0,15650.0,13487.0,11883.0,18051.0,13461.0,17750.0,15000.0,12000.0,0.7531,0.0,0.0,0.0,0.0247,0.1111,0.0864,0.0247,0.5569,100812,34.806793,-86.964698
8,Auburn University at Montgomery,36117-3596,3742.0,0.4821,7885.0,0.6901,1.0,0.0,0.4,0.2222,0.25,0.3287,0.3889,0.4129,0.0131,0.4487,0.004,0.6686,0.3314,14125.0,13000.0,12500.0,8810.0,25000.0,11585.0,16502.0,13750.0,12000.0,0.6771,0.0,0.0628,0.0,0.0179,0.0717,0.0987,0.0045,0.2031,100830,32.36736,-86.177544
9,Auburn University,36849,24782.0,0.1301,11093.0,0.8436,2.0,1.0,0.7917,0.8321,0.7647,0.6898,0.8206,0.8181,0.0382,0.0461,0.0027,0.4953,0.5047,18250.0,18750.0,16750.0,8750.0,21000.0,16250.0,18489.0,18500.0,17562.0,0.7179,0.0146,0.0053,0.0012,0.0403,0.0637,0.1092,0.0041,0.04,100858,32.599378,-85.488258
