,school name,women only schools,men only schools,males completed title iv by 2 years,males completed title iv by 3 years,males completed title iv by 4 years,males completed title iv by 6 years,males completed title iv by 8 years,males withdrawn title iv by 2 years,males withdrawn title iv by 3 years,males withdrawn title iv by 4 years,males withdrawn title iv by 6 years,males withdrawn title iv by 8 years,male transferees withdrawn title 2 years,male transferees withdrawn title 3 years,male transferees withdrawn title 4 years,male transferees withdrawn title 6 years,male transferees withdrawn title 8 years,male transferees completed title iv in 4 years by 2 years,male transferees completed title iv in 4 years by 3 years,male transferees completed title iv in 4 years by 4 years,male transferees completed title iv in 4 years by 6 years,male transferees completed title iv in 4 years by 8 years,females completed title iv by 2 years,females completed title iv by 3 years,females completed title iv by 4 years,females completed title iv by 6 years,females completed title iv by 8 years,females withdrawn title iv by 2 years,females withdrawn title iv by 3 years,females withdrawn title iv by 4 years,males withdrawn title iv by 6 years,females withdrawn title iv by 8 years,female transferees withdrawn title iv in 4 years by 2 years,female transferees withdrawn title iv in 4 years by 3 years,female transferees withdrawn title iv in 4 years by 4 years,female transferees withdrawn title iv in 4 years by 6 years,female transferees withdrawn title iv in 4 years by 8 years,female transferees completed title iv in 4 years by 2 years,female transferees completed title iv in 4 years by 3 years,female transferees completed title iv in 4 years by 4 years,female transferees completed title iv in 4 years by 6 years,female transferees completed title iv in 4 years by 8 years
0,Alabama A & M University,0,0,0.040662650602,0.081267217631,0.17638483965,0.244556113903,0.255681818182,0.373493975904,0.353994490358,0.424198250729,0.418760469012,0.354166666667,0.043674698795,0.053719008264,0.067055393586,0.085427135678,0.087121212121,0.0,0.028925619835,0.026239067055,0.030150753769,0.07196969697,0.047149122807,0.178238341969,0.259389671362,0.357480314961,0.318014705882,0.297149122807,0.251813471503,0.287558685446,0.233070866142,0.196691176471,0.043859649123,0.060103626943,0.066901408451,0.089763779528,0.119485294118,0.0,0.023834196891,0.030516431925,0.072440944882,0.108455882353
1,University of Alabama at Birmingham,0,0,0.136759581882,0.28867761452,0.425298804781,0.509947643979,0.50358974359,0.223867595819,0.263612791703,0.248007968127,0.212565445026,0.219487179487,0.0,0.027657735523,0.024900398406,0.032460732984,0.051282051282,0.024390243902,0.040622299049,0.057768924303,0.09109947644,0.089230769231,0.158123791103,0.351944167498,0.471216617211,0.558139534884,0.569100391134,0.189071566731,0.192921236291,0.186350148368,0.150848522942,0.123207301173,0.0,0.021435692921,0.026112759644,0.042111879321,0.035853976532,0.036266924565,0.042372881356,0.080118694362,0.091137649277,0.107561929596
2,Amridge University,0,0,0.0,0.0,0.0,0.0,0.272727272727,0.6,0.5,0.489795918367,0.446428571429,0.378787878788,0.0,0.192307692308,0.0,0.214285714286,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12389380531,0.508064516129,0.525252525253,0.518987341772,0.495412844037,0.283185840708,0.0,0.151515151515,0.0,0.137614678899,0.265486725664,0.0,0.0,0.0,0.0,0.0
3,University of Alabama in Huntsville,0,0,0.062350119904,0.235294117647,0.346726190476,0.481054365733,0.476274165202,0.219424460432,0.263427109974,0.313988095238,0.235584843493,0.214411247803,0.0,0.0,0.034226190476,0.036243822076,0.03690685413,0.0,0.020460358056,0.056547619048,0.0823723229,0.119507908612,0.159830268741,0.350078492936,0.393890675241,0.480079681275,0.510169491525,0.19801980198,0.17896389325,0.231511254019,0.145418326693,0.101694915254,0.0,0.0,0.030546623794,0.045816733068,0.047457627119,0.0,0.056514913658,0.085209003215,0.127490039841,0.159322033898
4,Alabama State University,0,0,0.054502369668,0.087866108787,0.194499017682,0.25,0.223011363636,0.398104265403,0.464435146444,0.388998035363,0.40261627907,0.355113636364,0.03317535545,0.056485355649,0.084479371316,0.098837209302,0.129261363636,0.0,0.0,0.033398821218,0.059593023256,0.075284090909,0.038571428571,0.165217391304,0.28167115903,0.368715083799,0.322952710496,0.284285714286,0.316770186335,0.274932614555,0.216945996276,0.198385236448,0.05,0.072049689441,0.063342318059,0.090316573557,0.155709342561,0.0,0.0,0.043126684636,0.074487895717,0.070357554787
5,The University of Alabama,0,0,0.107247796278,0.366976972073,0.53264604811,0.582484725051,0.556434599156,0.134671890304,0.158745712886,0.159548355425,0.163441955193,0.157700421941,0.034769833497,0.039686428221,0.041728031419,0.047861507128,0.060654008439,0.0,0.025477707006,0.047619047619,0.079429735234,0.097046413502,0.113014827018,0.480224126566,0.605466237942,0.646368305209,0.606780982073,0.092915980231,0.100197758734,0.109324758842,0.090975788701,0.090802805924,0.026359143328,0.033618984838,0.033118971061,0.040719002201,0.043257989088,0.0,0.042188529993,0.083922829582,0.110418195158,0.142244738893
6,Central Alabama Community College,0,0,0.102150537634,0.148148148148,0.16742081448,0.114503816794,0.042253521127,0.537634408602,0.541666666667,0.552036199095,0.580152671756,0.482394366197,0.0,0.0,0.085972850679,0.068702290076,0.084507042254,0.0,0.0,0.0,0.064885496183,0.095070422535,0.128676470588,0.156626506024,0.173501577287,0.134117647059,0.073959938367,0.474264705882,0.439759036145,0.473186119874,0.456470588235,0.342064714946,0.0,0.0,0.069400630915,0.087058823529,0.118644067797,0.0,0.0,0.0,0.08,0.092449922958
7,Athens State University,0,0,0.290076335878,0.354838709677,0.520161290323,0.598214285714,0.546816479401,0.236641221374,0.258064516129,0.237903225806,0.169642857143,0.232209737828,0.0,0.0,0.040322580645,0.0,0.0,0.0,0.052419354839,0.040322580645,0.071428571429,0.067415730337,0.271523178808,0.448844884488,0.540780141844,0.6,0.633333333333,0.185430463576,0.204620462046,0.189716312057,0.161739130435,0.14126984127,0.0,0.0,0.024822695035,0.0,0.0,0.0,0.044554455446,0.051418439716,0.073043478261,0.063492063492
8,Auburn University at Montgomery,0,0,0.075757575758,0.182370820669,0.191428571429,0.274698795181,0.284722222222,0.353535353535,0.29179331307,0.294285714286,0.286746987952,0.236111111111,0.050505050505,0.042553191489,0.114285714286,0.118072289157,0.101851851852,0.0,0.0,0.091428571429,0.098795180723,0.171296296296,0.115189873418,0.236694677871,0.319790301442,0.330864197531,0.339393939394,0.254430379747,0.208683473389,0.201834862385,0.2,0.158787878788,0.045569620253,0.043417366947,0.077326343381,0.108641975309,0.121212121212,0.0,0.0,0.078636959371,0.124691358025,0.178181818182
9,Auburn University,0,0,0.132737276479,0.374745417515,0.628730048577,0.720158102767,0.699346405229,0.128610729023,0.13849287169,0.099236641221,0.093280632411,0.099491648511,0.0,0.02172437203,0.024288688411,0.041106719368,0.0290486565,0.0,0.016972165648,0.04718945177,0.052964426877,0.086419753086,0.131529263688,0.489596879064,0.696600384862,0.743652743653,0.732492997199,0.075519194462,0.084525357607,0.081462475946,0.060606060606,0.056022408964,0.0,0.021456436931,0.022450288647,0.026208026208,0.031512605042,0.0,0.036410923277,0.058370750481,0.085995085995,0.114145658263
10,Birmingham-Southern College,0,0,0.0,0.484848484848,0.603174603175,0.58273381295,0.544642857143,0.0,0.131313131313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087301587302,0.143884892086,0.1875,0.0,0.495327102804,0.715277777778,0.738636363636,0.546666666667,0.0,0.168224299065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333333333,0.113636363636,0.293333333333
